    .00406042       6.76066620        .68357300
    .00453812       5.62574895        .17562400
    .00501582       5.72247073        .05448620
    .00549351       5.91082847        .02454120
    .00597121       5.83647467        .01928560
    .00644890       5.82542121        .01526800
    .00692660       5.81801438        .01321990
    .00740430       5.82933301        .01178060
    .00788199       5.81974896        .01075840
    .00835969       5.80021694        .00996291
    .00883739       5.79086005        .00927189
    .00931508       5.77498862        .00875663
    .00979278       5.78036452        .00830576
    .01027050       5.75789610        .00793116
    .01074820       5.76698094        .00761706
    .01122590       5.75306371        .00734753
    .01170360       5.73314886        .00708182
    .01218130       5.73621567        .00685607
    .01265890       5.72736950        .00664716
    .01313660       5.71790474        .00645883
    .01361430       5.71779734        .00630911
    .01409200       5.68970855        .00615712
    .01456970       5.67708120        .00601547
    .01504740       5.67171847        .00589869
    .01552510       5.65070005        .00577567
    .01600280       5.65220893        .00565899
    .01648050       5.63018217        .00555724
    .01695820       5.61601253        .00545779
    .01743590       5.60836042        .00535743
    .01791360       5.59754071        .00526357
    .01839130       5.58280631        .00518008
    .01886900       5.56847443        .00510260
    .01934670       5.54951681        .00501784
    .01982440       5.52859599        .00494806
    .02030200       5.52738427        .00487819
    .02077970       5.50786189        .00480417
    .02125740       5.49034478        .00473523
    .02173510       5.47341326        .00467704
    .02221280       5.45847806        .00461050
    .02269050       5.44519212        .00455049
    .02316820       5.42107404        .00449233
    .02364590       5.40053870        .00443660
    .02412360       5.38470132        .00437761
    .02460130       5.37026669        .00432328
    .02507900       5.35344220        .00427213
    .02555660       5.32316979        .00422096
    .02603430       5.30638773        .00416696
    .02651200       5.29706347        .00412102
    .02698970       5.27497296        .00407211
    .02746740       5.24670921        .00402567
    .02794510       5.24063682        .00397884
    .02842280       5.21552728        .00393437
    .02890050       5.18867708        .00389147
    .02937810       5.17523979        .00384917
    .02985580       5.14959855        .00380694
    .03033350       5.12710731        .00376682
    .03081120       5.10866812        .00372634
    .03128890       5.08178461        .00368586
    .03176660       5.06027819        .00364821
    .03224430       5.03782139        .00360975
    .03272190       5.01417409        .00357165
    .03319960       4.99084577        .00353747
    .03367730       4.96646957        .00349963
    .03415500       4.94023101        .00346207
    .03463270       4.92631579        .00342716
    .03511040       4.89937755        .00339281
    .03558800       4.87512325        .00335869
    .03606570       4.85575948        .00332742
    .03654340       4.83027062        .00329685
    .03702110       4.79901583        .00326007
    .03749880       4.77454837        .00322549
    .03797640       4.75098902        .00319283
    .03845410       4.72133502        .00316359
    .03893180       4.69817618        .00313358
    .03940950       4.67464634        .00310026
    .03988720       4.65308317        .00307096
    .04036480       4.62114861        .00304147
    .04084250       4.59962059        .00301147
    .04132020       4.56940384        .00298590
    .04179790       4.54153818        .00295739
    .04227550       4.51978899        .00292792
    .04275320       4.48530316        .00290044
    .04323090       4.46144991        .00287281
    .04370860       4.43841453        .00284487
    .04418620       4.40805110        .00281757
    .04466390       4.38011530        .00279110
    .04514160       4.35402477        .00276489
    .04561930       4.32820179        .00274125
    .04609690       4.29669756        .00271930
    .04657460       4.26931463        .00274518
    .04705230       4.24060220        .00280249
    .04752990       4.21392699        .00281695
    .04800760       4.18696944        .00284449
    .04848530       4.15913910        .00285818
    .04896300       4.13036913        .00286800
    .04944060       4.09854886        .00287464
    .04991830       4.07266922        .00287963
    .05039600       4.03975829        .00288475
    .05087360       4.01963735        .00288447
    .05135130       3.98296409        .00288451
    .05182900       3.95930492        .00288342
    .05230660       3.92965461        .00287961
    .05278430       3.90334941        .00287026
    .05326200       3.87312139        .00286753
    .05373960       3.83994002        .00287494
    .05421730       3.81006266        .00294210
    .05469490       3.78669190        .00293087
    .05517260       3.75266683        .00290230
    .05565030       3.72195051        .00288486
    .05612790       3.69823837        .00286805
    .05660560       3.66483017        .00285376
    .05708320       3.64096081        .00284636
    .05756090       3.60614208        .00283154
    .05803860       3.57490094        .00282490
    .05851620       3.54835691        .00281294
    .05899390       3.52369612        .00279989
    .05947150       3.49474002        .00279709
    .05994920       3.46067758        .00278748
    .06042680       3.43168869        .00277330
    .06090450       3.40407131        .00276554
    .06138210       3.37313769        .00275211
    .06185980       3.33891357        .00275485
    .06233740       3.31155285        .00275726
    .06281510       3.28645715        .00274636
    .06329270       3.25270363        .00272523
    .06377040       3.22998989        .00270141
    .06424800       3.19818903        .00269024
    .06472570       3.16728918        .00267551
    .06520330       3.14010080        .00265827
    .06568100       3.11279346        .00263613
    .06615860       3.08491997        .00262561
    .06663630       3.05378828        .00261273
    .06711390       3.02423350        .00259824
    .06759160       2.99508865        .00258175
    .06806920       2.96619682        .00257046
    .06854680       2.94245190        .00256010
    .06902450       2.91096036        .00254936
    .06950210       2.88400665        .00254102
    .06997980       2.85778576        .00252275
    .07045740       2.82178873        .00250045
    .07093500       2.79848473        .00248180
    .07141270       2.76963512        .00245907
    .07189030       2.74628894        .00243211
    .07236790       2.71373813        .00240989
    .07284560       2.68624855        .00238921
    .07332320       2.65878092        .00236553
    .07380080       2.63054824        .00233945
    .07427850       2.60429446        .00231944
    .07475610       2.57815724        .00229796
    .07523370       2.55088051        .00227513
    .07571140       2.51895754        .00225309
    .07618900       2.49214111        .00223350
    .07666660       2.47071641        .00221297
    .07714430       2.44237734        .00219439
    .07762190       2.41291231        .00217926
    .07809950       2.38771531        .00216482
    .07857710       2.35884625        .00214911
    .07905480       2.33533410        .00213595
    .07953240       2.30442598        .00211904
    .08001000       2.28501145        .00210459
    .08048760       2.25587665        .00208963
    .08096520       2.23091749        .00207661
    .08144290       2.20324624        .00205955
    .08192050       2.18208174        .00204519
