PV Version: 1.3
Date: 2017-06-06 09:32:25 AM
Protein directory: p6/pdbs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
whole_t037                     8497.449         1380.184         7117.265            0.838  136456
whole_t038                     8520.868         1417.144         7103.723            0.834  144257
whole_t039                     8527.662         1418.863         7108.799            0.834  137527
whole_t040                     8516.394         1398.689         7117.705            0.836  135953
whole_t041                     8468.530         1361.089         7107.441            0.839  133874
whole_t042                     8571.405         1459.594         7111.811            0.830  130434
whole_t043                     8555.404         1443.736         7111.668            0.831  130622
whole_t044                     8618.403         1508.800         7109.602            0.825  133155
whole_t045                     8668.508         1557.054         7111.453            0.820  133094
whole_t046                     8608.968         1495.736         7113.231            0.826  140137
whole_t047                     8588.870         1474.247         7114.623            0.828  131787
whole_t048                     8616.428         1494.147         7122.281            0.827  133284
whole_t049                     8642.244         1516.882         7125.363            0.824  135120
whole_t050                     8652.720         1539.642         7113.078            0.822  135663
whole_t051                     8549.297         1423.899         7125.397            0.833  151959
whole_t052                     8553.228         1433.771         7119.457            0.832  148721
whole_t053                     8586.315         1461.677         7124.637            0.830  136345
whole_t054                     8539.001         1418.805         7120.197            0.834  138021
whole_t055                     8592.100         1472.543         7119.557            0.829  136734
whole_t056                     8544.334         1416.279         7128.055            0.834  135413
whole_t057                     8495.445         1379.641         7115.804            0.838  138507
whole_t058                     8507.381         1393.100         7114.281            0.836  136948
whole_t059                     8564.463         1441.309         7123.154            0.832  139944
whole_t060                     8536.553         1424.065         7112.488            0.833  138296
whole_t061                     8544.104         1429.592         7114.513            0.833  135783
whole_t062                     8549.421         1429.773         7119.648            0.833  139110
whole_t063                     8540.490         1423.710         7116.780            0.833  135488
whole_t064                     8601.333         1471.721         7129.612            0.829  140958
whole_t065                     8548.670         1427.754         7120.916            0.833  147234
whole_t066                     8637.084         1531.261         7105.822            0.823  143495
whole_t067                     8611.265         1492.729         7118.536            0.827  133433
whole_t068                     8568.145         1452.739         7115.406            0.830  143144
whole_t069                     8673.695         1554.443         7119.253            0.821  137379
whole_t070                     8613.866         1495.544         7118.322            0.826  138258
whole_t071                     8588.614         1475.003         7113.611            0.828  131254
whole_t072                     8560.117         1445.314         7114.803            0.831  132244
whole_t073                     8507.650         1385.857         7121.793            0.837  134523
whole_t074                     8525.932         1399.216         7126.716            0.836  143116
whole_t075                     8556.122         1436.579         7119.543            0.832  143821
whole_t076                     8459.897         1336.524         7123.372            0.842  138443
whole_t077                     8503.750         1381.562         7122.188            0.838  139388
whole_t078                     8500.959         1373.632         7127.327            0.838  142389
whole_t079                     8482.699         1362.529         7120.170            0.839  142068
whole_t080                     8507.352         1385.124         7122.228            0.837  142204
whole_t081                     8459.536         1338.245         7121.291            0.842  145591
whole_t082                     8575.766         1447.614         7128.152            0.831  139209
whole_t083                     8488.766         1365.780         7122.986            0.839  134655
whole_t084                     8493.214         1370.487         7122.728            0.839  136621
whole_t085                     8445.176         1322.801         7122.375            0.843  141281
whole_t086                     8499.823         1384.085         7115.737            0.837  137946
whole_t087                     8411.718         1297.669         7114.049            0.846  134833
whole_t088                     8524.714         1408.785         7115.930            0.835  137531
whole_t089                     8485.449         1361.928         7123.521            0.839  139811
whole_t090                     8493.591         1361.674         7131.917            0.840  151440
whole_t091                     8485.584         1354.899         7130.685            0.840  148605
whole_t092                     8438.901         1315.028         7123.873            0.844  143714
whole_t093                     8477.341         1344.569         7132.772            0.841  137863
whole_t094                     8479.748         1353.595         7126.153            0.840  137687
whole_t095                     8460.946         1343.152         7117.795            0.841  143091
whole_t096                     8427.779         1310.657         7117.123            0.844  138918
whole_t097                     8398.146         1274.249         7123.896            0.848  140004
whole_t098                     8437.721         1317.211         7120.510            0.844  138578
whole_t099                     8439.083         1320.735         7118.348            0.843  151338
whole_t100                     8412.598         1293.857         7118.741            0.846  137912
whole_t101                     8412.448         1300.110         7112.338            0.845  138308
whole_t102                     8394.412         1284.097         7110.315            0.847  145913
whole_t103                     8389.423         1267.153         7122.270            0.849  139791
whole_t104                     8426.187         1305.779         7120.408            0.845  141098
whole_t105                     8473.543         1343.065         7130.477            0.841  137517
whole_t106                     8461.492         1340.520         7120.972            0.842  138672
whole_t107                     8456.118         1333.033         7123.085            0.842  140334
whole_t108                     8460.466         1337.891         7122.575            0.842  144634
whole_t109                     8485.672         1363.679         7121.993            0.839  142181
whole_t110                     8394.581         1277.847         7116.735            0.848  141536
whole_t111                     8400.807         1282.031         7118.777            0.847  139076
whole_t112                     8446.273         1328.073         7118.201            0.843  138624
whole_t113                     8371.773         1258.847         7112.926            0.850  139235
whole_t114                     8465.401         1339.863         7125.538            0.842  137323
whole_t115                     8468.217         1337.066         7131.150            0.842  138796
whole_t116                     8417.691         1294.276         7123.416            0.846  139958
whole_t117                     8421.393         1303.301         7118.092            0.845  140589
whole_t118                     8425.094         1301.984         7123.110            0.845  137678
whole_t119                     8435.767         1305.594         7130.172            0.845  144222
whole_t120                     8464.213         1339.745         7124.468            0.842  136539
whole_t121                     8401.983         1277.666         7124.318            0.848  137964
whole_t122                     8425.267         1303.236         7122.031            0.845  139637
whole_t123                     8448.952         1319.084         7129.868            0.844  140037
whole_t124                     8507.607         1374.170         7133.437            0.838  138756
whole_t125                     8534.148         1409.096         7125.052            0.835  136817
whole_t126                     8495.864         1367.923         7127.941            0.839  136433
whole_t127                     8410.271         1282.510         7127.761            0.848  136899
whole_t128                     8552.468         1420.428         7132.040            0.834  133871
whole_t129                     8478.693         1355.302         7123.391            0.840  137803
whole_t130                     8541.588         1410.847         7130.742            0.835  135815
whole_t131                     8582.157         1451.750         7130.407            0.831  137813
whole_t132                     8504.345         1384.711         7119.634            0.837  132151
whole_t133                     8579.874         1457.273         7122.601            0.830  131922
whole_t134                     8575.896         1449.176         7126.719            0.831  138430
whole_t135                     8505.097         1392.803         7112.294            0.836  137730
whole_t136                     8466.552         1339.982         7126.570            0.842  138758
whole_t137                     8501.410         1380.721         7120.689            0.838  136462
whole_t138                     8445.455         1323.613         7121.842            0.843  131712
whole_t139                     8534.808         1413.616         7121.192            0.834  130712
whole_t140                     8566.056         1435.063         7130.993            0.832  121306
whole_t141                     8557.735         1438.970         7118.765            0.832  130529
whole_t142                     8580.435         1463.811         7116.625            0.829  129370
whole_t143                     8557.959         1439.173         7118.786            0.832  124954
whole_t144                     8490.143         1367.980         7122.163            0.839  122040
whole_t145                     8452.144         1338.668         7113.476            0.842  89885
whole_t146                     8510.165         1385.745         7124.420            0.837  86684
whole_t147                     8540.411         1416.337         7124.074            0.834  89051
whole_t148                     8503.389         1378.985         7124.404            0.838  93873
whole_t149                     8515.877         1391.430         7124.447            0.837  97659
whole_t150                     8490.668         1361.374         7129.294            0.840  92726
whole_t151                     8473.974         1347.099         7126.874            0.841  94269
whole_t152                     8489.913         1363.070         7126.843            0.839  90840
whole_t153                     8420.100         1292.081         7128.019            0.847  92446
whole_t154                     8436.100         1312.973         7123.127            0.844  99997
whole_t155                     8431.729         1308.640         7123.090            0.845  93676
whole_t156                     8472.228         1345.975         7126.253            0.841  82627
whole_t157                     8470.555         1345.146         7125.409            0.841  86596
whole_t158                     8520.976         1387.633         7133.343            0.837  82008
whole_t159                     8450.993         1320.089         7130.905            0.844  76732
whole_t160                     8388.171         1262.298         7125.873            0.850  80299
whole_t161                     8474.231         1349.431         7124.801            0.841  79486
