PV Version: 1.3
Date: 2017-06-06 09:32:25 AM
Protein directory: p6/pdbs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
whole_t000                     8525.519         1398.692         7126.827            0.836  141541
whole_t001                     8497.977         1389.343         7108.635            0.837  146045
whole_t002                     8478.191         1361.974         7116.217            0.839  158672
whole_t003                     8523.588         1401.425         7122.163            0.836  155234
whole_t004                     8505.311         1380.245         7125.067            0.838  153100
whole_t005                     8539.675         1416.615         7123.060            0.834  150115
whole_t006                     8519.332         1393.147         7126.186            0.836  167688
whole_t007                     8541.144         1415.293         7125.851            0.834  153974
whole_t008                     8495.509         1379.809         7115.700            0.838  148103
whole_t009                     8526.915         1405.151         7121.764            0.835  140270
whole_t010                     8530.534         1407.119         7123.415            0.835  147141
whole_t011                     8542.301         1420.444         7121.857            0.834  138226
whole_t012                     8486.217         1369.160         7117.057            0.839  143390
whole_t013                     8548.910         1425.274         7123.636            0.833  137057
whole_t014                     8485.369         1373.618         7111.751            0.838  137148
whole_t015                     8472.395         1363.753         7108.642            0.839  134332
whole_t016                     8557.989         1441.452         7116.537            0.832  132738
whole_t017                     8488.864         1384.729         7104.135            0.837  130888
whole_t018                     8535.538         1424.187         7111.351            0.833  132636
whole_t019                     8590.937         1460.550         7130.387            0.830  135517
whole_t020                     8579.481         1469.795         7109.686            0.829  131445
whole_t021                     8559.346         1441.080         7118.265            0.832  132112
whole_t022                     8618.693         1499.957         7118.736            0.826  140662
whole_t023                     8522.049         1417.454         7104.595            0.834  127350
whole_t024                     8489.690         1385.157         7104.532            0.837  132051
whole_t025                     8563.698         1450.450         7113.248            0.831  131490
whole_t026                     8475.166         1354.820         7120.345            0.840  142234
whole_t027                     8522.729         1410.939         7111.790            0.834  128479
whole_t028                     8497.131         1378.005         7119.126            0.838  141975
whole_t029                     8530.245         1410.471         7119.774            0.835  133496
whole_t030                     8544.082         1436.855         7107.227            0.832  132591
whole_t031                     8543.091         1427.308         7115.783            0.833  132283
whole_t032                     8527.477         1401.698         7125.778            0.836  133640
whole_t033                     8525.960         1400.113         7125.847            0.836  147131
whole_t034                     8550.777         1436.676         7114.101            0.832  136366
whole_t035                     8497.205         1376.055         7121.149            0.838  135400
whole_t036                     8517.498         1404.879         7112.619            0.835  133630
