PV Version: 1.3
Date: 2017-06-06 09:32:25 AM
Protein directory: p3/pdbs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
whole_t156                     8467.572         1359.601         7107.970            0.839  92543
whole_t157                     8504.508         1393.409         7111.099            0.836  84116
whole_t158                     8486.560         1380.683         7105.877            0.837  76898
whole_t159                     8487.167         1373.137         7114.030            0.838  78448
whole_t160                     8446.117         1338.453         7107.664            0.842  76218
whole_t161                     8477.050         1363.129         7113.921            0.839  75579
whole_t162                     8439.768         1322.669         7117.099            0.843  74656
whole_t163                     8449.452         1321.252         7128.200            0.844  78734
whole_t164                     8420.448         1302.572         7117.876            0.845  71470
whole_t165                     8481.879         1357.881         7123.998            0.840  67561
whole_t166                     8448.370         1329.823         7118.547            0.843  68206
whole_t167                     8514.225         1394.733         7119.492            0.836  64269
